,epoch,step,reward,done,action,evaluation_state
488,94.0,4.0,1.0,0.0,1.0,0.0
489,94.0,5.0,0.0,1.0,0.0,0.0
490,95.0,0.0,1.0,0.0,1.0,1.0
491,95.0,1.0,1.0,0.0,0.0,1.0
492,95.0,2.0,1.0,0.0,0.0,1.0
493,95.0,3.0,1.0,0.0,1.0,1.0
494,95.0,4.0,0.0,1.0,1.0,1.0
495,96.0,0.0,1.0,0.0,2.0,0.0
496,96.0,1.0,1.0,0.0,2.0,0.0
497,96.0,2.0,1.0,0.0,0.0,0.0
498,96.0,3.0,0.0,1.0,0.0,0.0
499,97.0,0.0,1.0,0.0,1.0,1.0
500,97.0,1.0,1.0,0.0,0.0,1.0
501,97.0,2.0,1.0,0.0,2.0,1.0
502,97.0,3.0,1.0,0.0,2.0,1.0
503,97.0,4.0,1.0,0.0,0.0,1.0
504,97.0,5.0,1.0,0.0,1.0,1.0
505,97.0,6.0,0.0,1.0,2.0,1.0
506,98.0,0.0,1.0,0.0,1.0,0.0
507,98.0,1.0,1.0,0.0,0.0,0.0
508,98.0,2.0,1.0,0.0,2.0,0.0
509,98.0,3.0,1.0,0.0,2.0,0.0
510,98.0,4.0,1.0,0.0,2.0,0.0
511,98.0,5.0,0.0,1.0,2.0,0.0
512,99.0,0.0,1.0,0.0,1.0,1.0
513,99.0,1.0,1.0,0.0,0.0,1.0
514,99.0,2.0,1.0,0.0,0.0,1.0
515,99.0,3.0,1.0,0.0,1.0,1.0
516,99.0,4.0,0.0,1.0,1.0,1.0
517,100.0,0.0,1.0,0.0,1.0,0.0
518,100.0,1.0,1.0,0.0,1.0,0.0
519,100.0,2.0,1.0,0.0,0.0,0.0
520,100.0,3.0,0.0,1.0,0.0,0.0
521,101.0,0.0,1.0,0.0,1.0,1.0
522,101.0,1.0,1.0,0.0,0.0,1.0
523,101.0,2.0,1.0,0.0,0.0,1.0
524,101.0,3.0,1.0,0.0,1.0,1.0
525,101.0,4.0,0.0,1.0,2.0,1.0
526,102.0,0.0,1.0,0.0,1.0,0.0
527,102.0,1.0,1.0,0.0,2.0,0.0
528,102.0,2.0,1.0,0.0,0.0,0.0
529,102.0,3.0,1.0,0.0,2.0,0.0
530,102.0,4.0,1.0,0.0,1.0,0.0
531,102.0,5.0,0.0,1.0,0.0,0.0
532,103.0,0.0,1.0,0.0,1.0,1.0
